"discussion_id","comment_id","sentence","comment","A1","A2","A3","A4","A5","total"
"Dd001","#1","Sweet Briar Is Fighting an Up-Hill Battle ."," To what extent to we expect college to be preparation for the real world? I experienced some sexism in college, but I thought of it as training for real life. I might have to perform better than men -- or more consistently -- to get the same recognition. But that strikes me as true about working life too. I always thought of women's colleges (especially those nestled in rural areas) as too removed from what you might experience after college. Maybe that's the wrong way to think about it. Maybe college should be a place where nurturing happens, rather than baptism by fire. Anyway, there's something ineffably sad to me about Sweet Briar's closing. It's like a world that's passing away.","0","0","0","0","0","0"
"Dd001","#1","Despite a beautiful campus , dedicated faculty , loyal alumnae and a significant endowment , Sweet Briar College is closing after 114 years ."," To what extent to we expect college to be preparation for the real world? I experienced some sexism in college, but I thought of it as training for real life. I might have to perform better than men -- or more consistently -- to get the same recognition. But that strikes me as true about working life too. I always thought of women's colleges (especially those nestled in rural areas) as too removed from what you might experience after college. Maybe that's the wrong way to think about it. Maybe college should be a place where nurturing happens, rather than baptism by fire. Anyway, there's something ineffably sad to me about Sweet Briar's closing. It's like a world that's passing away.","0","1","0","0","1","2"
"Dd001","#1","Too few students were choosing Sweet Briar , so the college discounted its tuition rate , a move that exacerbated its financial problems but did not succeed in attracting enough students ."," To what extent to we expect college to be preparation for the real world? I experienced some sexism in college, but I thought of it as training for real life. I might have to perform better than men -- or more consistently -- to get the same recognition. But that strikes me as true about working life too. I always thought of women's colleges (especially those nestled in rural areas) as too removed from what you might experience after college. Maybe that's the wrong way to think about it. Maybe college should be a place where nurturing happens, rather than baptism by fire. Anyway, there's something ineffably sad to me about Sweet Briar's closing. It's like a world that's passing away.","0","0","0","0","0","0"
"Dd001","#1","As a small , rural , liberal arts women 's college , Sweet Briar was fighting an up-hill battle against many trends in higher education ."," To what extent to we expect college to be preparation for the real world? I experienced some sexism in college, but I thought of it as training for real life. I might have to perform better than men -- or more consistently -- to get the same recognition. But that strikes me as true about working life too. I always thought of women's colleges (especially those nestled in rural areas) as too removed from what you might experience after college. Maybe that's the wrong way to think about it. Maybe college should be a place where nurturing happens, rather than baptism by fire. Anyway, there's something ineffably sad to me about Sweet Briar's closing. It's like a world that's passing away.","0","0","1","0","0","1"
"Dd001","#1","Although all of these variables probably contributed to the lack of student interest , President James Jones , Jr. acknowledged that declining interest in single-sex education was decisive in its demise ."," To what extent to we expect college to be preparation for the real world? I experienced some sexism in college, but I thought of it as training for real life. I might have to perform better than men -- or more consistently -- to get the same recognition. But that strikes me as true about working life too. I always thought of women's colleges (especially those nestled in rural areas) as too removed from what you might experience after college. Maybe that's the wrong way to think about it. Maybe college should be a place where nurturing happens, rather than baptism by fire. Anyway, there's something ineffably sad to me about Sweet Briar's closing. It's like a world that's passing away.","0","0","0","0","1","1"
"Dd001","#1","Data supports this conclusion : According to the Women 's College Coalition , the number of women 's colleges declined from 230 to little more than 40 in the last half-century ."," To what extent to we expect college to be preparation for the real world? I experienced some sexism in college, but I thought of it as training for real life. I might have to perform better than men -- or more consistently -- to get the same recognition. But that strikes me as true about working life too. I always thought of women's colleges (especially those nestled in rural areas) as too removed from what you might experience after college. Maybe that's the wrong way to think about it. Maybe college should be a place where nurturing happens, rather than baptism by fire. Anyway, there's something ineffably sad to me about Sweet Briar's closing. It's like a world that's passing away.","0","0","0","0","0","0"
"Dd001","#1","By many measures , today 's women are flourishing in higher education and do not need a protected environment to develop their intellectual potential ."," To what extent to we expect college to be preparation for the real world? I experienced some sexism in college, but I thought of it as training for real life. I might have to perform better than men -- or more consistently -- to get the same recognition. But that strikes me as true about working life too. I always thought of women's colleges (especially those nestled in rural areas) as too removed from what you might experience after college. Maybe that's the wrong way to think about it. Maybe college should be a place where nurturing happens, rather than baptism by fire. Anyway, there's something ineffably sad to me about Sweet Briar's closing. It's like a world that's passing away.","1","1","0","0","1","3"
"Dd001","#1","Women are enrolled in higher education at higher rates than men and achieve better grades ."," To what extent to we expect college to be preparation for the real world? I experienced some sexism in college, but I thought of it as training for real life. I might have to perform better than men -- or more consistently -- to get the same recognition. But that strikes me as true about working life too. I always thought of women's colleges (especially those nestled in rural areas) as too removed from what you might experience after college. Maybe that's the wrong way to think about it. Maybe college should be a place where nurturing happens, rather than baptism by fire. Anyway, there's something ineffably sad to me about Sweet Briar's closing. It's like a world that's passing away.","0","0","1","0","0","1"
"Dd001","#1","Young women are at or near parity in many `` traditionally male '' professions including law and medicine ."," To what extent to we expect college to be preparation for the real world? I experienced some sexism in college, but I thought of it as training for real life. I might have to perform better than men -- or more consistently -- to get the same recognition. But that strikes me as true about working life too. I always thought of women's colleges (especially those nestled in rural areas) as too removed from what you might experience after college. Maybe that's the wrong way to think about it. Maybe college should be a place where nurturing happens, rather than baptism by fire. Anyway, there's something ineffably sad to me about Sweet Briar's closing. It's like a world that's passing away.","0","0","1","0","0","1"
"Dd001","#1","While women are still underrepresented in positions of leadership and in some , but not all , math-intensive disciplines , there is no data to support the myth that single-sex colleges prepare women better to become leaders in our co-ed world or that their graduates are more likely to choose math-intensive career options ."," To what extent to we expect college to be preparation for the real world? I experienced some sexism in college, but I thought of it as training for real life. I might have to perform better than men -- or more consistently -- to get the same recognition. But that strikes me as true about working life too. I always thought of women's colleges (especially those nestled in rural areas) as too removed from what you might experience after college. Maybe that's the wrong way to think about it. Maybe college should be a place where nurturing happens, rather than baptism by fire. Anyway, there's something ineffably sad to me about Sweet Briar's closing. It's like a world that's passing away.","0","0","1","0","0","1"
