"debate id","debate title","debate description","article title","post id","username","previous post id","text comment","text article"
"Dc001.txt","Is Immigration Really a Problem?","Is unauthorized immigration as much of a problem for the U.S. as some claim?","A Problem for Some School Districts","#1","Solomon_Grundy","NA","Americans owe it to Mexico to educate, feed, and take care of Mexicans, and  allow Mexicans to vote in American elections. To do otherwise is xenophobia.","It is no secret that many public school systems struggle to find adequate  resources to teach students who are behind grade level, some of whom have  significant other challenges in their home lives.

Undocumented children, especially those who come in at middle and high school  levels, often fall under this umbrella: They are usually at least two grade  levels behind, but assessing their skills is difficult because they have few if  any records. (The language barrier, in many cases, may keep children who are  more proficient in the content, but not English, from being in the appropriate  class level.) Often, immigrant children have experienced difficulty or trauma,  and they come to school with high levels of anxiety and fear.

In Jefferson Parish, Louisiana, where I was superintendent from 2011 to January  of this year, we had a major influx of Central American students last school  year. More than a thousand new children were enrolled last fall, and by  February 2014 we had the highest concentration of students with limited English  proficiency (around 10 percent of the students) of any public-school system in  the state.

This is not to say that immigrants, authorized or not, shouldn't be in the  school system. When it comes to our educational mission and duty, the passion  and commitment is there, so it is important to try to separate schooling from  politics. But better federal and monetary assistance is needed.

First, it is a bureaucratic challenge to assess the needs of immigrant  children, many of whom have unusual family structures, especially without  hiring more Spanish-speaking teachers and bilingual paraprofessionals. We need  extra classrooms, extra teachers and counselors, and money for transportation  costs and extended year programs to accelerate instruction that will bring  students to grade level.

Second, we need to help immigrant children who are behind learn faster. Some of  the undocumented students need a similar level of attention as special-needs  students, or their chances of dropping out soar. (This brings another societal  cost as those who cannot find identification in schools, and have few family  members nearby, have limited job opportunities and become prime candidates for  gangs.)

Third, we want an open and accepting culture at school for all our students,  but resentment can build when limited resources are spent on undocumented  children. The scarcity of funds can put up a significant social barrier to  acceptance of immigrants.

Much of the money (and resources for specialized personnel) that school  districts like Jefferson Parish need cannot come from the limited resources at  the local level or from the state, which faces its own budget shortfalls. It  has to come from a federal initiative.

The alternative is not to block immigration. My father emigrated from Honduras  in 1918 as a child and received his citizenship while fighting in World War II.  But we should recognize that the stress on American students, who have plenty  of challenges of their own, is greater in districts with limited funding and so  many undocumented children."
"Dc001.txt","Is Immigration Really a Problem?","Is unauthorized immigration as much of a problem for the U.S. as some claim?","A Problem for Some School Districts","#2","blackmamba","NA","The legal aka documented Americans with born or naturalized citizens or  foreigners with live visas should always be the priority primary educational  target population ahead of any illegal aka undocumented alien foreigners.","It is no secret that many public school systems struggle to find adequate  resources to teach students who are behind grade level, some of whom have  significant other challenges in their home lives.

Undocumented children, especially those who come in at middle and high school  levels, often fall under this umbrella: They are usually at least two grade  levels behind, but assessing their skills is difficult because they have few if  any records. (The language barrier, in many cases, may keep children who are  more proficient in the content, but not English, from being in the appropriate  class level.) Often, immigrant children have experienced difficulty or trauma,  and they come to school with high levels of anxiety and fear.

In Jefferson Parish, Louisiana, where I was superintendent from 2011 to January  of this year, we had a major influx of Central American students last school  year. More than a thousand new children were enrolled last fall, and by  February 2014 we had the highest concentration of students with limited English  proficiency (around 10 percent of the students) of any public-school system in  the state.

This is not to say that immigrants, authorized or not, shouldn't be in the  school system. When it comes to our educational mission and duty, the passion  and commitment is there, so it is important to try to separate schooling from  politics. But better federal and monetary assistance is needed.

First, it is a bureaucratic challenge to assess the needs of immigrant  children, many of whom have unusual family structures, especially without  hiring more Spanish-speaking teachers and bilingual paraprofessionals. We need  extra classrooms, extra teachers and counselors, and money for transportation  costs and extended year programs to accelerate instruction that will bring  students to grade level.

Second, we need to help immigrant children who are behind learn faster. Some of  the undocumented students need a similar level of attention as special-needs  students, or their chances of dropping out soar. (This brings another societal  cost as those who cannot find identification in schools, and have few family  members nearby, have limited job opportunities and become prime candidates for  gangs.)

Third, we want an open and accepting culture at school for all our students,  but resentment can build when limited resources are spent on undocumented  children. The scarcity of funds can put up a significant social barrier to  acceptance of immigrants.

Much of the money (and resources for specialized personnel) that school  districts like Jefferson Parish need cannot come from the limited resources at  the local level or from the state, which faces its own budget shortfalls. It  has to come from a federal initiative.

The alternative is not to block immigration. My father emigrated from Honduras  in 1918 as a child and received his citizenship while fighting in World War II.  But we should recognize that the stress on American students, who have plenty  of challenges of their own, is greater in districts with limited funding and so  many undocumented children."
"Dc001.txt","Is Immigration Really a Problem?","Is unauthorized immigration as much of a problem for the U.S. as some claim?","A Problem for Some School Districts","#3","Kathleenh","NA","Often we see very large Spanish-speaking families wandering around in Costco  enjoying the free food samples. How can they afford five and six children, I  wonder? My daughter and her husband have stopped at two and work pretty hard to  make sure they have what they need. Are their taxes going toward paying for  others' kids when they can barely afford their own? I wonder...","It is no secret that many public school systems struggle to find adequate  resources to teach students who are behind grade level, some of whom have  significant other challenges in their home lives.

Undocumented children, especially those who come in at middle and high school  levels, often fall under this umbrella: They are usually at least two grade  levels behind, but assessing their skills is difficult because they have few if  any records. (The language barrier, in many cases, may keep children who are  more proficient in the content, but not English, from being in the appropriate  class level.) Often, immigrant children have experienced difficulty or trauma,  and they come to school with high levels of anxiety and fear.

In Jefferson Parish, Louisiana, where I was superintendent from 2011 to January  of this year, we had a major influx of Central American students last school  year. More than a thousand new children were enrolled last fall, and by  February 2014 we had the highest concentration of students with limited English  proficiency (around 10 percent of the students) of any public-school system in  the state.

This is not to say that immigrants, authorized or not, shouldn't be in the  school system. When it comes to our educational mission and duty, the passion  and commitment is there, so it is important to try to separate schooling from  politics. But better federal and monetary assistance is needed.

First, it is a bureaucratic challenge to assess the needs of immigrant  children, many of whom have unusual family structures, especially without  hiring more Spanish-speaking teachers and bilingual paraprofessionals. We need  extra classrooms, extra teachers and counselors, and money for transportation  costs and extended year programs to accelerate instruction that will bring  students to grade level.

Second, we need to help immigrant children who are behind learn faster. Some of  the undocumented students need a similar level of attention as special-needs  students, or their chances of dropping out soar. (This brings another societal  cost as those who cannot find identification in schools, and have few family  members nearby, have limited job opportunities and become prime candidates for  gangs.)

Third, we want an open and accepting culture at school for all our students,  but resentment can build when limited resources are spent on undocumented  children. The scarcity of funds can put up a significant social barrier to  acceptance of immigrants.

Much of the money (and resources for specialized personnel) that school  districts like Jefferson Parish need cannot come from the limited resources at  the local level or from the state, which faces its own budget shortfalls. It  has to come from a federal initiative.

The alternative is not to block immigration. My father emigrated from Honduras  in 1918 as a child and received his citizenship while fighting in World War II.  But we should recognize that the stress on American students, who have plenty  of challenges of their own, is greater in districts with limited funding and so  many undocumented children."
"Dc001.txt","Is Immigration Really a Problem?","Is unauthorized immigration as much of a problem for the U.S. as some claim?","A Problem for Some School Districts","#4","Luz","#3","Nobody taxes are used to ""Spanish speaking families"" kids., as you called them.  Their parent work very hard up two 3 jobs to be able to support their family.  To give their kids the best life they can. Mexican families don't even get  taxes back, in matter a fact they take a whole lot of money from them. And as  you say your daughter and your son in law work hard for their two kids, will  that's great to know. But, as far as i know Mexican parent don't really buy to  rich things, or buy the best quality of clothes. Most of the times they buy  clothes that are in sales. More when you have up to 3 kids or more. Mexican  families rather spend money on their kids to be able provide them clothes but  may not be the best quality of clothes but at least clothes that can cover  their bodies. Mexican families save money and save smart to be able have food  on the table and a roof under their families heads. Mexican families are hard  working people who don't care to burn their self under the sun. Or to wake up 3  or 4 in the morning to go to work and come back till 7 at night. Most of the  times they don't spend much time with their families as you as Whites spend  time with grandparent mom and dad sister and brothers uncles and aunts.","It is no secret that many public school systems struggle to find adequate  resources to teach students who are behind grade level, some of whom have  significant other challenges in their home lives.

Undocumented children, especially those who come in at middle and high school  levels, often fall under this umbrella: They are usually at least two grade  levels behind, but assessing their skills is difficult because they have few if  any records. (The language barrier, in many cases, may keep children who are  more proficient in the content, but not English, from being in the appropriate  class level.) Often, immigrant children have experienced difficulty or trauma,  and they come to school with high levels of anxiety and fear.

In Jefferson Parish, Louisiana, where I was superintendent from 2011 to January  of this year, we had a major influx of Central American students last school  year. More than a thousand new children were enrolled last fall, and by  February 2014 we had the highest concentration of students with limited English  proficiency (around 10 percent of the students) of any public-school system in  the state.

This is not to say that immigrants, authorized or not, shouldn't be in the  school system. When it comes to our educational mission and duty, the passion  and commitment is there, so it is important to try to separate schooling from  politics. But better federal and monetary assistance is needed.

First, it is a bureaucratic challenge to assess the needs of immigrant  children, many of whom have unusual family structures, especially without  hiring more Spanish-speaking teachers and bilingual paraprofessionals. We need  extra classrooms, extra teachers and counselors, and money for transportation  costs and extended year programs to accelerate instruction that will bring  students to grade level.

Second, we need to help immigrant children who are behind learn faster. Some of  the undocumented students need a similar level of attention as special-needs  students, or their chances of dropping out soar. (This brings another societal  cost as those who cannot find identification in schools, and have few family  members nearby, have limited job opportunities and become prime candidates for  gangs.)

Third, we want an open and accepting culture at school for all our students,  but resentment can build when limited resources are spent on undocumented  children. The scarcity of funds can put up a significant social barrier to  acceptance of immigrants.

Much of the money (and resources for specialized personnel) that school  districts like Jefferson Parish need cannot come from the limited resources at  the local level or from the state, which faces its own budget shortfalls. It  has to come from a federal initiative.

The alternative is not to block immigration. My father emigrated from Honduras  in 1918 as a child and received his citizenship while fighting in World War II.  But we should recognize that the stress on American students, who have plenty  of challenges of their own, is greater in districts with limited funding and so  many undocumented children."
"Dc001.txt","Is Immigration Really a Problem?","Is unauthorized immigration as much of a problem for the U.S. as some claim?","A Problem for Some School Districts","#5","aldebaran","NA","There are vested interests in having the immigrants that entered illegally stay  in USA--not only the cheap labor for the work in factory farms, slaughter  houses, etc, but also the jobs that are created for professionals in the school  system--the ESL teachers, social workers, aides, and tmore funds for higher  education to train the new professionals. Education hieracrchy benefits by  having this bigger enrollment, even though the students lose the resources  devoted to others. There is also the Hispanic vote to be considered--all these  pluses (from a political, business, educational stance) mean that the illegally  enetered folks are allowed to come. It's only when the average ctizens started  to protest that things began to change. Even E-Verify--a way to ask employers  to check to see if their employees have legitimate scoial security numbers--was  opposed!! Anyone who thinks it's just a fluke that we have 12 million illegally  entered immigrants needs to wake up.","It is no secret that many public school systems struggle to find adequate  resources to teach students who are behind grade level, some of whom have  significant other challenges in their home lives.

Undocumented children, especially those who come in at middle and high school  levels, often fall under this umbrella: They are usually at least two grade  levels behind, but assessing their skills is difficult because they have few if  any records. (The language barrier, in many cases, may keep children who are  more proficient in the content, but not English, from being in the appropriate  class level.) Often, immigrant children have experienced difficulty or trauma,  and they come to school with high levels of anxiety and fear.

In Jefferson Parish, Louisiana, where I was superintendent from 2011 to January  of this year, we had a major influx of Central American students last school  year. More than a thousand new children were enrolled last fall, and by  February 2014 we had the highest concentration of students with limited English  proficiency (around 10 percent of the students) of any public-school system in  the state.

This is not to say that immigrants, authorized or not, shouldn't be in the  school system. When it comes to our educational mission and duty, the passion  and commitment is there, so it is important to try to separate schooling from  politics. But better federal and monetary assistance is needed.

First, it is a bureaucratic challenge to assess the needs of immigrant  children, many of whom have unusual family structures, especially without  hiring more Spanish-speaking teachers and bilingual paraprofessionals. We need  extra classrooms, extra teachers and counselors, and money for transportation  costs and extended year programs to accelerate instruction that will bring  students to grade level.

Second, we need to help immigrant children who are behind learn faster. Some of  the undocumented students need a similar level of attention as special-needs  students, or their chances of dropping out soar. (This brings another societal  cost as those who cannot find identification in schools, and have few family  members nearby, have limited job opportunities and become prime candidates for  gangs.)

Third, we want an open and accepting culture at school for all our students,  but resentment can build when limited resources are spent on undocumented  children. The scarcity of funds can put up a significant social barrier to  acceptance of immigrants.

Much of the money (and resources for specialized personnel) that school  districts like Jefferson Parish need cannot come from the limited resources at  the local level or from the state, which faces its own budget shortfalls. It  has to come from a federal initiative.

The alternative is not to block immigration. My father emigrated from Honduras  in 1918 as a child and received his citizenship while fighting in World War II.  But we should recognize that the stress on American students, who have plenty  of challenges of their own, is greater in districts with limited funding and so  many undocumented children."
"Dc001.txt","Is Immigration Really a Problem?","Is unauthorized immigration as much of a problem for the U.S. as some claim?","A Problem for Some School Districts","#6","GRH","NA","This opinion is astounding. At least Mr. Meza acknowledges ""resentment can  build when limited resources are spent on undocumented (aka illegal) children.""  He has that part right. No, it is certainly not the fault of the children that  their parents are law-breakers diluting limited US resources and pressuring  already burdened school districts (and hospitals, and public infrastructure,  etc., etc.) It is a tragedy & I understand Mr. Meza's job was to try and run  the school district as well as possible under the circumstances. But why should  illegal aliens who fail to respect the laws of the United States be rewarded  with federal dollars (that US citizen taxpayers provide) to educate their  children? The countries of northern Europe & Scandinavia have traditionally  been able to offer a strong social welfare state because there is a shared  culture and moderate homogeneity. They are now facing the rise of right-wing  parties because of the abuse of that same social welfare state from migrants.  And the reality in America is that the current de facto open borders policy is  undermining support for not only public education but the entire modern welfare  state and all public works, not to mention respect for our laws. Why should  anyone comply with any law at all then? The open borders policy is destroying  the unity of America.","It is no secret that many public school systems struggle to find adequate  resources to teach students who are behind grade level, some of whom have  significant other challenges in their home lives.

Undocumented children, especially those who come in at middle and high school  levels, often fall under this umbrella: They are usually at least two grade  levels behind, but assessing their skills is difficult because they have few if  any records. (The language barrier, in many cases, may keep children who are  more proficient in the content, but not English, from being in the appropriate  class level.) Often, immigrant children have experienced difficulty or trauma,  and they come to school with high levels of anxiety and fear.

In Jefferson Parish, Louisiana, where I was superintendent from 2011 to January  of this year, we had a major influx of Central American students last school  year. More than a thousand new children were enrolled last fall, and by  February 2014 we had the highest concentration of students with limited English  proficiency (around 10 percent of the students) of any public-school system in  the state.

This is not to say that immigrants, authorized or not, shouldn't be in the  school system. When it comes to our educational mission and duty, the passion  and commitment is there, so it is important to try to separate schooling from  politics. But better federal and monetary assistance is needed.

First, it is a bureaucratic challenge to assess the needs of immigrant  children, many of whom have unusual family structures, especially without  hiring more Spanish-speaking teachers and bilingual paraprofessionals. We need  extra classrooms, extra teachers and counselors, and money for transportation  costs and extended year programs to accelerate instruction that will bring  students to grade level.

Second, we need to help immigrant children who are behind learn faster. Some of  the undocumented students need a similar level of attention as special-needs  students, or their chances of dropping out soar. (This brings another societal  cost as those who cannot find identification in schools, and have few family  members nearby, have limited job opportunities and become prime candidates for  gangs.)

Third, we want an open and accepting culture at school for all our students,  but resentment can build when limited resources are spent on undocumented  children. The scarcity of funds can put up a significant social barrier to  acceptance of immigrants.

Much of the money (and resources for specialized personnel) that school  districts like Jefferson Parish need cannot come from the limited resources at  the local level or from the state, which faces its own budget shortfalls. It  has to come from a federal initiative.

The alternative is not to block immigration. My father emigrated from Honduras  in 1918 as a child and received his citizenship while fighting in World War II.  But we should recognize that the stress on American students, who have plenty  of challenges of their own, is greater in districts with limited funding and so  many undocumented children."
"Dc001.txt","Is Immigration Really a Problem?","Is unauthorized immigration as much of a problem for the U.S. as some claim?","A Problem for Some School Districts","#7","Basic_Human_Being","NA","The solution is to tell illegals they are not welcome here at all. They are  certainly not welcome here if they refuse to embrace the English language. They  are the ones who must bear the costs of educating their kids in English, not  us. A good start would be huge taxes on any money they think they should be  able to send out of our nation. If these people want to be Americans, let them  become Americans by demonstrating that English fluency is a priority and they  will be the ones to pay for it not us.","It is no secret that many public school systems struggle to find adequate  resources to teach students who are behind grade level, some of whom have  significant other challenges in their home lives.

Undocumented children, especially those who come in at middle and high school  levels, often fall under this umbrella: They are usually at least two grade  levels behind, but assessing their skills is difficult because they have few if  any records. (The language barrier, in many cases, may keep children who are  more proficient in the content, but not English, from being in the appropriate  class level.) Often, immigrant children have experienced difficulty or trauma,  and they come to school with high levels of anxiety and fear.

In Jefferson Parish, Louisiana, where I was superintendent from 2011 to January  of this year, we had a major influx of Central American students last school  year. More than a thousand new children were enrolled last fall, and by  February 2014 we had the highest concentration of students with limited English  proficiency (around 10 percent of the students) of any public-school system in  the state.

This is not to say that immigrants, authorized or not, shouldn't be in the  school system. When it comes to our educational mission and duty, the passion  and commitment is there, so it is important to try to separate schooling from  politics. But better federal and monetary assistance is needed.

First, it is a bureaucratic challenge to assess the needs of immigrant  children, many of whom have unusual family structures, especially without  hiring more Spanish-speaking teachers and bilingual paraprofessionals. We need  extra classrooms, extra teachers and counselors, and money for transportation  costs and extended year programs to accelerate instruction that will bring  students to grade level.

Second, we need to help immigrant children who are behind learn faster. Some of  the undocumented students need a similar level of attention as special-needs  students, or their chances of dropping out soar. (This brings another societal  cost as those who cannot find identification in schools, and have few family  members nearby, have limited job opportunities and become prime candidates for  gangs.)

Third, we want an open and accepting culture at school for all our students,  but resentment can build when limited resources are spent on undocumented  children. The scarcity of funds can put up a significant social barrier to  acceptance of immigrants.

Much of the money (and resources for specialized personnel) that school  districts like Jefferson Parish need cannot come from the limited resources at  the local level or from the state, which faces its own budget shortfalls. It  has to come from a federal initiative.

The alternative is not to block immigration. My father emigrated from Honduras  in 1918 as a child and received his citizenship while fighting in World War II.  But we should recognize that the stress on American students, who have plenty  of challenges of their own, is greater in districts with limited funding and so  many undocumented children."
"Dc001.txt","Is Immigration Really a Problem?","Is unauthorized immigration as much of a problem for the U.S. as some claim?","A Problem for Some School Districts","#8","ZAW","NA","Excellent article, Mr. meza. It's easy to see that whatever benefit illegal  immigrants give to the U.S. Economy, it's not trickling down to our schools. I  was shocked when my cousin actually did a GoFundMe campaign to pay for basic  supplies for her students at a public school in California. Try putting a group  of non English speakers in that school, without extra funding to pay for a  bilingual (or better, a language immersion) program, and it would be a recipe  for disaster.

.

The sad thing is that other government entities feel the lack of funding from  illegal aliens, too. Public hospitals, in particular, are often in the same  boat as our schools: expected to care for illegals and other indigent patients  for free.

.

It seems to me that, if we want to open up immigration in our country, we  really need to see to it that some of the economic benefits of illegal  immigration, actually make it to our schools and hospitals,","It is no secret that many public school systems struggle to find adequate  resources to teach students who are behind grade level, some of whom have  significant other challenges in their home lives.

Undocumented children, especially those who come in at middle and high school  levels, often fall under this umbrella: They are usually at least two grade  levels behind, but assessing their skills is difficult because they have few if  any records. (The language barrier, in many cases, may keep children who are  more proficient in the content, but not English, from being in the appropriate  class level.) Often, immigrant children have experienced difficulty or trauma,  and they come to school with high levels of anxiety and fear.

In Jefferson Parish, Louisiana, where I was superintendent from 2011 to January  of this year, we had a major influx of Central American students last school  year. More than a thousand new children were enrolled last fall, and by  February 2014 we had the highest concentration of students with limited English  proficiency (around 10 percent of the students) of any public-school system in  the state.

This is not to say that immigrants, authorized or not, shouldn't be in the  school system. When it comes to our educational mission and duty, the passion  and commitment is there, so it is important to try to separate schooling from  politics. But better federal and monetary assistance is needed.

First, it is a bureaucratic challenge to assess the needs of immigrant  children, many of whom have unusual family structures, especially without  hiring more Spanish-speaking teachers and bilingual paraprofessionals. We need  extra classrooms, extra teachers and counselors, and money for transportation  costs and extended year programs to accelerate instruction that will bring  students to grade level.

Second, we need to help immigrant children who are behind learn faster. Some of  the undocumented students need a similar level of attention as special-needs  students, or their chances of dropping out soar. (This brings another societal  cost as those who cannot find identification in schools, and have few family  members nearby, have limited job opportunities and become prime candidates for  gangs.)

Third, we want an open and accepting culture at school for all our students,  but resentment can build when limited resources are spent on undocumented  children. The scarcity of funds can put up a significant social barrier to  acceptance of immigrants.

Much of the money (and resources for specialized personnel) that school  districts like Jefferson Parish need cannot come from the limited resources at  the local level or from the state, which faces its own budget shortfalls. It  has to come from a federal initiative.

The alternative is not to block immigration. My father emigrated from Honduras  in 1918 as a child and received his citizenship while fighting in World War II.  But we should recognize that the stress on American students, who have plenty  of challenges of their own, is greater in districts with limited funding and so  many undocumented children."
"Dc002.txt","Is Immigration Really a Problem?","Is unauthorized immigration as much of a problem for the U.S. as some claim?","Immigrants Bolster Academic and Civic Engagement in the U.S.","#1","blackmamba","NA","Comprehensive immigration reform that is faster, cheaper, simpler and  consistent is the best way to fix this American problem. Thankfully Albert  Einstein, Enrico Fermi, Hans Bethe and Edward Teller made it into America.","Rather than draining American society of resources, immigrants significantly  enhance the economic, educational and civic development of this country.

On the whole, immigrants have a limited, if any, effect on job growth for  native-born U.S. workers. But they do add to the economy greatly.

In recent years, foreign-born immigrants have established a disproportionately  large share of small businesses, start-ups in Silicon Valley, and international  patents.

In some of the nation's largest cities, including New York and Los Angeles,  immigrant residents who are members of the work force account for a significant  amount of economic productivity. Contrary to common assumptions, legal and  undocumented immigrant workers typically do pay taxes, including on their  incomes, just as U.S. citizens do. And immigrants, both legal and undocumented,  are less likely to commit serious crimes.

When it comes to education, my particular area of study, recent immigrants  overall tend to perform better on several educational outcomes than native-born  counterparts whose families have resided in the U.S. for longer.

My colleague Johnelle Sparks and I have found that first-generation immigrant  students enrolled in four-year colleges or universities are actually more  likely than other students to finish their bachelor's degrees within six years.  Undocumented immigrant students in both the K-12 and college systems  demonstrate significant resilience, academic engagement in their studies and  civic involvement - often serving as leaders in their schools.

In a country where the historically predominant white racial/ethnic group is  aging rapidly, recent immigrants infuse the American work force with a younger  population. For example, Latinos, who are the largest immigrant group, had an  average age of 27 years old in the 2010 Census, compared with the average white  age of 42. Demographers have called the crucial capacity to replenish an aging  labor market with younger individuals the ""demographic dividend"" - It is  immigrants who significantly sustain the population of the U.S. work force.

That is not to say that many immigrant students don't face challenges in  academic achievement and educational attainment, both at the K-12 and  postsecondary levels. They often have less familiarity with American culture  (often including limited English proficiency), come from lower socioeconomic  backgrounds, and attend schools that are not well-resourced. But ample research  indicates that, given the right educational support, immigrant students can  succeed - a boon for the economy."
"Dc002.txt","Is Immigration Really a Problem?","Is unauthorized immigration as much of a problem for the U.S. as some claim?","Immigrants Bolster Academic and Civic Engagement in the U.S.","#2","Basic_Human_Being","#1","All legal and skilled. unlike the average unskilled illegal who does not speak  English and does not have a high school diploma.","Rather than draining American society of resources, immigrants significantly  enhance the economic, educational and civic development of this country.

On the whole, immigrants have a limited, if any, effect on job growth for  native-born U.S. workers. But they do add to the economy greatly.

In recent years, foreign-born immigrants have established a disproportionately  large share of small businesses, start-ups in Silicon Valley, and international  patents.

In some of the nation's largest cities, including New York and Los Angeles,  immigrant residents who are members of the work force account for a significant  amount of economic productivity. Contrary to common assumptions, legal and  undocumented immigrant workers typically do pay taxes, including on their  incomes, just as U.S. citizens do. And immigrants, both legal and undocumented,  are less likely to commit serious crimes.

When it comes to education, my particular area of study, recent immigrants  overall tend to perform better on several educational outcomes than native-born  counterparts whose families have resided in the U.S. for longer.

My colleague Johnelle Sparks and I have found that first-generation immigrant  students enrolled in four-year colleges or universities are actually more  likely than other students to finish their bachelor's degrees within six years.  Undocumented immigrant students in both the K-12 and college systems  demonstrate significant resilience, academic engagement in their studies and  civic involvement - often serving as leaders in their schools.

In a country where the historically predominant white racial/ethnic group is  aging rapidly, recent immigrants infuse the American work force with a younger  population. For example, Latinos, who are the largest immigrant group, had an  average age of 27 years old in the 2010 Census, compared with the average white  age of 42. Demographers have called the crucial capacity to replenish an aging  labor market with younger individuals the ""demographic dividend"" - It is  immigrants who significantly sustain the population of the U.S. work force.

That is not to say that many immigrant students don't face challenges in  academic achievement and educational attainment, both at the K-12 and  postsecondary levels. They often have less familiarity with American culture  (often including limited English proficiency), come from lower socioeconomic  backgrounds, and attend schools that are not well-resourced. But ample research  indicates that, given the right educational support, immigrant students can  succeed - a boon for the economy."
